sentence,evaluation_words,tonality,entity,entity_type
"Ратко Младич приговорён к пожизненному заключению
Ратко Младич в суде
В четверг, 22 ноября 2017 года, Гаагский Международный трибунал по бывшей Югославии приговорил бывшего военного командира боснийских сербов 74-летнего генерала Ратко Младича к пожизненному заключению, признав его виновным в геноциде во время Боснийской войны",енном заключение ратко младич в суд в четверг ноябрь год приговорить бывший военный командир боснийский серб летний ге ,0,Гаагский Международный трибунал по бывшей Югославии,ORGANIZATION
"
Чарльз Дэнс

Фильм «Игра в имитацию» уже успел получить главный приз Кинофестиваля в Торонто 2014 года, титул «Лучший британский фильм 2014 года», хорошие отзывы критиков и отличный рейтинг 8,2 на IMDB", фильм игра в имитация уже успеть получить главный приз кинофестивал ,0,Чарльз Дэнс,PERSON
 Об этом 7 июля 2018 года сообщает пресс-служба миссии НАТО «Решительная поддержка», о это июль год сообщать пресс служба миссия нато  ,0,Решительная поддержка,ORGANIZATION
"Александр Винник признался прокуратуре РФ в мошенничестве на криптобирже BTC-e
Логотип BTC-e
Арестованный в Греции в прошлом году Александр Винник, обвиняемый властями США в отмывании крупных денежных сумм с помощью криптобиржи BTC-e, написал признание в Генпрокуратуру РФ",александр винникнуть признаться прокуратура в мошенничество на криптобиржа btc e логотип btc e арестовать в гре ,0,РФ,COUNTRY
" В докладе сообщается, что на территории Польши и Румынии находились секретные тюрьмы, где содержались задержанные террористы", в доклад сообщаться что на территория польша и находиться секретный тюрьма где содержаться задержать террорист ,0,Румынии,COUNTRY
"

После того, как утром в субботу суэцкая полиция попросила подкрепление, власти ввели в город войска, в том числе бронетехнику", суббота суэцкий полиция попросить подкрепление власть ввести в город в тот число бронетехника ,0,войска,ORGANIZATION
"В Новой Зеландии будет воздвигнут монумент в память о погибших в землетрясении израильтянах

Реувен Ривлин
22 февраля 2011 года в Новой Зеландии произошло разрушительное землетрясение, в ходе которого погибли трое израильских граждан",они в землетрясение израильтянин реувен ривлина февраль год в произойти разрушительный землетрясение в ход который погибнуть трое  ,0,Новой Зеландии,COUNTRY
"

The Guardian дала записи оценку 2/5:
Если Эминем думает, что его словесные трюки могут преодолеть слабости любых бэк-треков, то его последний альбом показал обратное", дать запись оценка если эминь думать что он словесный трюк м ,0,The Guardian,ORGANIZATION
" 40-летний юрист вел активную кампанию с обходом избирателей на дому, критикуя Чавеса за постоянные перебои с электричеством и продовольствием, а также высокий уровень преступности в стране",й юрист вести активный кампания с обход избиратель на дом критиковать за постоянный перебой с электричество и продовольствие а также выс ,-1,Чавеса,PERSON
"

Американский Forbes в 2018 году оценил состояние Гейтса в $90 млрд", forbes в год оценить состояние гейтс в млрд ,0,Американский,COUNTRY
"Прокурор попросил суд заочно приговорить Браудера к девяти годам тюрьмы
Уильям Браудер
Сергей Магнитский
В среду — 3 июля 2013 года российский прокурор попросил Тверской суд Москвы заочно приговорить руководителя фонда Hermitage Capital Management Уильяма Браудера к девяти годам тюрьмы, а также признать виновным в уклонении от уплаты налогов умершего в СИЗО аудитора фонда Сергея Магнитского и закрыть против него дело в связи со смертью",ор попросить тверской суд москва заочно приговорить руководитель фонд уильям браудёр к девять год тюрьма а также признать виновный в у ,0,Hermitage Capital Management,ORGANIZATION
"

На северодвинской сцене роли исполняли: Сергей Виконтович Астахов (Козлов) (''Роберт Кэплен''), Эвелина Висвальдовна Блёданс (''Фреда''), Татьяна Альбертовна Абрамова (''Олуэн Пиил''), Ольга Альбертовна Арнтгольц (Бетти),  Андрей Игоревич Харитонов (''Чарльз Трэвор Стэнтон''),  Вахтанг Ираклиевич Беридзе (''Гордон Уайтхауз'')",льц бетти андрей игоревич харитон чарльз трэвор стэнтон гордон уайтхауз  ,0,Вахтанг Ираклиевич Беридзе,PERSON
"FakTyrA анонсировал сингл «Психопат» и назначил премьеру клипа
Личность в маске: FakTyrA (2016 год)
3 декабря 2018 года рэпер FakTyrA выпустил сингл «Психопат»", анонсировать сингл психопат и назначить премьера клип личность в мас ,0,FakTyrA,PERSON
 В номинации HUMANITAS победила книга «Советский художественный авангард: Инскрипты книжного собрания РГАЛИ» («Центр книги Рудомино»),ветский художественный авангард инскрипт книжный собрание ргали  ,0,Центр книги Рудомино,ORGANIZATION
"Лэнса Армстронга лишили всех побед на «Тур де Франс»


Антидопинговое агентство США (USADA) лишит знаменитого велогонщика Лэнса Армстронга всех его титулов и запретит ему участвовать в соревнованиях", лишить весь победа на тур де франс антидопинговый агентство сша u ,0,Лэнса Армстронга,PERSON
"

По мнению аналитиков, реакция Белого дома — это предупреждение", по мнение аналитик реакция это предупреждение ,0,Белого дома,ORGANIZATION
" Спустя несколько дней удалось задержать 15-го солдата-срочника Владислава Челаха, который, по версии следствия, является убийцей и поджигателем", спустя несколько день удаться задержать го солдат срочник который по версия следствие являться убийца и поджигатель ,-1,Владислава Челаха,PERSON
"

Российская сборная в очередной, 28-й раз стала победительницей в общекомандном зачёте на чемпионатах мира по самбо", в очередной й раз стать победительница в общекомандный зач тот на ,1,Российская сборная,ORGANIZATION
"Китай раскритиковал США после визита замгенсека ООН в Синьцзян
МИД Китая назвал «абсурдным» и «лицемерным» замечание Госдепа США, который выразил «озабоченность» визитом замгенсека ООН в Синьцзян-Уйгурский автономный район",китай раскритиковать сша после визит замгенсек оон в синьцзян китай назвать абсурдный и лицемерный замечание госдеп сша котор ,0,МИД,ORGANIZATION
" «Возможно, это привлекло Селену Гомес, ведь она из религиозной христианской семьи», — сообщит инсайдер", возможно это привлечь ведь она из религиозный христианский семья сообщить инсайдер ,0,Селену Гомес,PERSON
"

В пресс-релизе правительство Великобритании заявило: «Посоветовавшись с британскими поставщиками указанных лекарств и иными заинтересованными сторонами, Правительство с удовлетворением обнаружило, что планируемый запрет не скажется на законной торговле указанными веществами для применения их в медицинских целях»", в пресс релиз заявить посоветоваться с британский поставщик указанный лекарс ,0,правительство Великобритании,ORGANIZATION
"Ватикан призывает к бойкоту фильма «Код да Винчи»
Картина «Тайная вечеря» Леонардо да Винчи
Архиепископ Анджело Амато призвал всех католиков бойкотировать фильм «Код да Винчи», снятый по известному роману Дэна Брауна (Dan Brown)", призывать к бойкот фильм код да винчи картина тайный вечеря лео ,0,Ватикан,COUNTRY
"Сурков подал в отставку
Владислав Сурков
8 мая 2013 года Президент России Владимир Путин подписал Указ «О Суркове В",сурков подать в отставка владислав сурков май год президент владимир путин подписать указ о сурков в ,0,России,COUNTRY
"
Хотя в ходе последовавшего за этим судебного разбирательства Крессиду признали невиновной, многие полагали, что этот инцидент положит конец её карьере", хотя в ход последовать за это судебный разбирательство признать невиновный многие полагать что этот инцидент положить конец ,0,Крессиду,PERSON
 Елена Мащалгина); архангельский ансамбль индийского танца Зиндеги (рук, архангельский ансамбль индийский танец зиндега рука ,0,Елена Мащалгина,PERSON
"


Пресс-секретарь китайского МИД ответил, что Америка распространяет слухи, лжёт и вмешивается во внутренние дела Китая", пресс секретарь мид ответить что америка распространять слух лж так и вмешиваться в  ,0,китайского,COUNTRY
" В ответ спикер Госдумы Сергей Нарышкин пообещал поставить вопрос о поведении Пономарева на заседании думской комиссии по этике, глава ЛДПР Владимир Жириновский потребовал лишить Пономарева мандата, а депутат-единоросс Александр Хинштейн назвал его «вруном», заявив, что «слово ранит сильнее, чем дело»",ведение пономарёв на заседание думский комиссия по этика глава лдпр потребовать лишить пономарёв мандат а депутат единоросс александр х ,0,Владимир Жириновский,PERSON
"В Госдуме предлагают наказывать за «пропаганду терроризма»

Следственные дела из архивов ФСБ России
Депутаты Госдумы Адальби Шхагошев и Александр Грибов предложили ввести уголовную ответственность за «пропаганду терроризма»",венный дело из архив фсб россия депутат госдума адальби шхагошева и предложить ввести уголовный ответственность за пропаганда терроризм ,0,Александр Грибов,PERSON
"Создатель антивируса McAfee арестован в Белизе по подозрению в убийстве
Как сообщает официальный блог создателя компьютерного антивируса McAfee Джона Макафи (John McAfee), 1 декабря 2012 года полиция Белиза арестовала миллионера при попытки пересечения им границы Белиза и Мексики: ''«Мы получили неподтвержденные сведения о том, что Джон Макафи был схвачен на границе Белиза и Мексики»''",подтвердить сведение о тот что джон макафи быть схватить на граница и мексика  ,0,Белиза,COUNTRY
"

Геннадий Фисун прокомментировал:
 Поначалу мне очень понравилось место Оно меня вдохновило на мысль о создании такого перформанса Впоследствии развивая идею я понял что для киевского культурного пространства это могло бы стать очень интересным и неожиданным Поэтому мы решили собрать художников выходцев из восточной Украины и вместе показать то что нас вдохновляет в степях на востоке 

Автор каллиграфического направлении Юрий Антонов на открытии выставки сказал:
Традиции каллиграфии на сегодняшний день почти утеряны в нашем обществе",еожидать поэтому мы решить собрать художник выходец из восточный и вместе показать то что мы вдохновлять в степь на восток автор  ,0,Украины,COUNTRY
"
В частности вперёд вышли Железный человек 3, Обливион, Семейка Крудс и китайская драма So Young", в частность впереть далее выйти железный человек обливион семейка и китайский драма so young ,0,Крудс,PERSON
" Обвинитель требовал для украинца 17 лет тюрьмы, но суд присяжных наложил более жёсткое наказание", обвинитель требовать для украинец год тюрьма но наложить более ж сткий наказание ,-2,суд присяжных,ORGANIZATION
"Здания МВД и Верховного суда Венесуэлы обстреляны с вертолета
Протесты в Венесуэле
В Венесуэле похищенный у полиции вертолет обстрелял здания Верховного суда и одного из министерств",ния мвд и верховный суд венесуэла обстрелять с вертолёт протест в в венесуэла похитить у полиция вертолёт обстрелять здание верховный ,0,Венесуэле,COUNTRY
"
Марио Монти подаст в отставку с должности премьер-министра Италии
Фото: Reuters Фото: Reuters Фото: Reuters
Фото: Reuters

Премьер-министр Италии Марио Монти подтвердил намерение подать прошение об отставке после того, как парламент одобрит закон о государственном бюджете на 2013 г",о reuters фото reuters фото reuters фото reuters премьер министр марио монтить подтвердить намерение подать прошение о отставка после то ,0,Италии,COUNTRY
"Сборная Россия по футболу готовится к ответственным матчам
Дик Адвокат
Сборная России по футболу должна набрать шесть очков в ближайших отборочных матчах чемпионата Европы 2012 года с командами Македонии и Ирландии, которые состоятся 2 и 6 сентября соответственно",оссия по футбол готовиться к ответственный матч дик адвокат сборная по футбол должный набрать шесть очко в близкий отборочный матч ч ,0,России,COUNTRY
"Шапиро покидает свой пост

Мэри Шапиро, возглавившая Комиссию США по ценным бумагам и биржам (SEC) после финансового кризиса, покинет свой пост, передает New York Times со ссылкой на неназванных представителей администрации президента США Барака Обамы",шапиро покидать свой пост возглавить комиссия сша по ценный бумага и биржа sec после фин ,0,Мэри Шапиро,PERSON
"

В первый игровой день соперниками сборной России стали волейболистки из Доминиканской республики", в первый игровой день соперник сборная стать волейболистка из доминиканский республика ,0,России,COUNTRY
"

Verizon получит такие активы компании, как Yahoo Sports, Yahoo Finance, Tumblr, Flurry, Gemini и другие", verizon получить такой актив компания как sports yahoo finance tumblr flurry gemini и другой ,0,Yahoo,ORGANIZATION
"

Всю свою карьеру в НХЛ Лидстрем играл в НХЛ только за один клуб — ''Detroit Red Wings''", весь свой карьера в лидстрёма играть в нхл только за один клуб detroit red wings  ,0,НХЛ,ORGANIZATION
"

В комментариях, опубликованных на сайте Министерства иностранных дел Китая, сообщается, что член Госсовета КНР Ян Цзечи призвал все стороны конфликта проявить выдержку и отметил, что кризис необходимо разрешить политическими и дипломатическими средствами",ных на сайт министерство иностранный дело китай сообщаться что член кнр ян цзетать призвать всё сторона конфликт проявить выдержка и отмести ,0,Госсовета,ORGANIZATION
"

В пятницу анонимные источники сообщили, что 78-летний лидер скончался от сердечного приступа, однако правительство пока не подтвердило эту информацию",ообщить что летний лидер скончаться от сердечный приступ однако пока не подтвердить этот информация ,0,правительство,ORGANIZATION
"

29-летний Брендт Кристенсен (Brendt Christensen) похитил и убил 26-летнюю Чжан Инъин (章莹颖) в июне 2017 года", летний brendt christensen похитить и убить летний чжан инъин в июнь ,-1,Брендт Кристенсен,PERSON
" НАТО расследует инцидент, имя погибшего и место происшествия не раскрываются", расследовать инцидент имя погибший и место происшествие не раскрывать ,0,НАТО,ORGANIZATION
" Из многочисленных видеозаписей, сделанных очевидцами происшествия, а также корреспондентами «Голоса Америки», следует, что полицейские Вашингтона пытались предотвратить насилие, однако охрана турецкого лидера продолжала пинать протестующих",запись сделать очевидец происшествие а также корреспондент следовать что полицейский вашингтон пытаться предотвратить насилие  ,0,Голоса Америки,ORGANIZATION
" El imperio dorado), которая посвящена великой китайской династии Мин, правящей с 1368 до 1644 гг", el imperio dorado который посвятить великий династия мина правящий с до год ,0,китайской,COUNTRY
"

Долгие годы Сурков оставался одним из самых влиятельных российских политиков", долгий год оставаться один из самый влиятельный российский политик ,1,Сурков,PERSON
"

В номинации «интернет-сообщество года» в число финалистов вошла Русская Википедия, ранее уже выигрывавшая эту номинацию в 2008 году", в номинация интернет сообщество год в число финалист войти ранее уже выигрывать этот номинация в год ,0,Русская Википедия,ORGANIZATION
"

В декабре прошлого года 35-летний житель Флориды Кристофер Чейни (Christopher Chaney) был приговорен к 10 годам тюремного заключения за взлом учетных записей и фотографирование обнаженных звезд шоу-бизнеса, в том числе актрис Скарлетт Йоханссон и Милы Кунис, а также певицы Кристины Агилеры", в декабрь прошлое год летний житель флорида кристофер чейня быть приговорить к год тюремный заключение за взлом учётный запеть ,0,Christopher Chaney,PERSON
" Ранее речь шла о возможном слиянии команды ""Спартак"" с ""Академией футбола"", пишет ""Житье-бытье""", ранее речь идти о возможный слияние команда спартак с писать житие бытие  ,0,Академией футбола,ORGANIZATION
" Дейенерис Таргариен и Джон Сноу на драконах не только не смогли убить предводителя врагов Короля Ночи, но и сами едва не погибли", дейенерис таргарийный и на дракон не только не смочь убить предводитель враг король ночь ,0,Джон Сноу,PERSON
"

Выдвижения кандидатуры Керри, представляющего в Сенате штата Массачусетс и номинировавшегося на пост президента в 2004 году, ожидалось еще с прошлой недели, когда представитель США в ООН Сьюзан Райс попросила президента Обаму снять ее кандидатуру", год ожидаться ещё с прошлый неделя когда представитель сша в оон попросить президент обама снять она кандидатура ,0,Сьюзан Райс,PERSON
"

Под одобрение аудитории Трамп публично подписал президентскую декларацию в отношении Кубы", под одобрение аудитория публично подписать президентский декларация в отношение куба ,0,Трамп,PERSON
"

Президент Израиля Реувен Ривлин и премьер-министр Биньямин Нетаньяху обратились к Путину с просьбами о помиловании девушки", президент израиль и премьер министр биньямин нетаньяху обратиться к путин с просьба  ,0,Реувен Ривлин,PERSON
"Выборы в России: лидирует Единая Россия
По предварительным данным Центризбиркома РФ, в ходе Единого дня голосования, который прошел в воскресенье 77 регионах страны, побеждает правящая партия «Единая Россия»",выборы в россия лидировать по предварительный данные центризбирком рф в ход единый день голос ,0,Единая Россия,ORGANIZATION
"США ввели санкции против Кубы за поддержку Мадуро
Нефтеперерабатывающий завод на Кубе
Министерство финансов США ввело санкции против кубинской нефтяной компании Cubametales за поддержку венесуэльского режима Николаса Мадуро",сша ввести санкция против куба за поддержка нефтеперерабатывающий завод на куба министерство финансы сша ввести с ,-1,Мадуро,PERSON
"

Керри участвовал в войне во Вьетнаме и получил несколько наград за свои военные заслуги, однако резко осуждал эту войну, когда вернулся в США", участвовать в война в вьетнам и получить несколько награда за свой вой ,1,Керри,PERSON
" Комиссию по ценным бумагам обвиняли в слабом надзоре за брокерскими компаниями типа Lehman Brothers, которые не были готовы к потрясениям и привели к самому серьезному экономическому спаду после времен Великой депрессии", обвинять в слабый надзор за брокерский компания тип lehman broth ,-1,Комиссию по ценным бумагам,ORGANIZATION
 Правительство Кипра пока не объявило суммы запрашиваемой помощи, пока не объявить сумма запрашивать помощь ,0,Правительство Кипра,ORGANIZATION
"

Венесуэла получила около 2 млн единиц лекарств и медицинских принадлежностей весом в 71 тонну", получить около млн единица лекарство и медицинский принадлежность ве ,0,Венесуэла,COUNTRY
"ру» сообщила, что глава Россельхознадзора сказал:
На таких примерах, если будут такие заявления, каждый российский чиновник будет вспоминать Баумгертнера, а потом Данкверта",надзор сказать на такой пример если быть такой заявление каждый чиновник быть вспоминать баумгертнер а потом данкверт ,0,российский,COUNTRY
